"Step","MADDPG_MADDPG_3_1 - Mean Episode Reward (Last 200 episodes)","MADDPG_MADDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG_MADDPG_3_1 - Mean Episode Reward (Last 200 episodes)__MAX"
"174","-133.2761382302875","-133.2761382302875","-133.2761382302875"
"179","-131.19048777157187","-131.19048777157187","-131.19048777157187"
"184","-129.5943861664282","-129.5943861664282","-129.5943861664282"
"189","-126.66562596671984","-126.66562596671984","-126.66562596671984"
"194","-124.2457214919303","-124.2457214919303","-124.2457214919303"
"199","-121.56806192528225","-121.56806192528225","-121.56806192528225"
"204","-120.28732074223196","-120.28732074223196","-120.28732074223196"
"209","-115.23269552898401","-115.23269552898401","-115.23269552898401"
"214","-113.91505636505974","-113.91505636505974","-113.91505636505974"
"219","-112.39697708942153","-112.39697708942153","-112.39697708942153"
"224","-108.50339691591374","-108.50339691591374","-108.50339691591374"
"229","-107.08999135725946","-107.08999135725946","-107.08999135725946"
"234","-104.22853348498954","-104.22853348498954","-104.22853348498954"
"239","-102.35369480278524","-102.35369480278524","-102.35369480278524"
"244","-101.52598869040527","-101.52598869040527","-101.52598869040527"
"249","-100.723894361876","-100.723894361876","-100.723894361876"
"254","-99.85975337587332","-99.85975337587332","-99.85975337587332"
"259","-98.97234016814573","-98.97234016814573","-98.97234016814573"
"264","-98.2704202203018","-98.2704202203018","-98.2704202203018"
"269","-98.73637125093637","-98.73637125093637","-98.73637125093637"
"274","-97.39542713508207","-97.39542713508207","-97.39542713508207"
"279","-98.18534379115725","-98.18534379115725","-98.18534379115725"
"284","-96.24301261870393","-96.24301261870393","-96.24301261870393"
"289","-94.97230818337601","-94.97230818337601","-94.97230818337601"
"294","-92.48020708184728","-92.48020708184728","-92.48020708184728"
"299","-91.25973160506179","-91.25973160506179","-91.25973160506179"
"304","-90.16831056756827","-90.16831056756827","-90.16831056756827"
"309","-88.82861152451086","-88.82861152451086","-88.82861152451086"
"314","-88.38497846765465","-88.38497846765465","-88.38497846765465"
"319","-87.18703384460584","-87.18703384460584","-87.18703384460584"
"324","-86.14870255351791","-86.14870255351791","-86.14870255351791"
"329","-86.19451707072108","-86.19451707072108","-86.19451707072108"
"334","-85.5080017236665","-85.5080017236665","-85.5080017236665"
"339","-85.92627038723947","-85.92627038723947","-85.92627038723947"
"344","-85.12424135011759","-85.12424135011759","-85.12424135011759"
"349","-84.53459343681182","-84.53459343681182","-84.53459343681182"
"354","-83.67926383728934","-83.67926383728934","-83.67926383728934"
"359","-83.44764222085308","-83.44764222085308","-83.44764222085308"
"364","-82.86425048775762","-82.86425048775762","-82.86425048775762"
"369","-81.83740832823251","-81.83740832823251","-81.83740832823251"
"374","-81.11552119213215","-81.11552119213215","-81.11552119213215"
"379","-80.40194040949386","-80.40194040949386","-80.40194040949386"
"384","-79.62101990662866","-79.62101990662866","-79.62101990662866"
"389","-78.22326467109487","-78.22326467109487","-78.22326467109487"
"394","-76.31398634999742","-76.31398634999742","-76.31398634999742"
"399","-75.27750818076628","-75.27750818076628","-75.27750818076628"
"404","-74.75347157737538","-74.75347157737538","-74.75347157737538"
"409","-74.53950667529914","-74.53950667529914","-74.53950667529914"
"414","-74.35057589997861","-74.35057589997861","-74.35057589997861"
"419","-73.75221703712705","-73.75221703712705","-73.75221703712705"
"424","-72.80729805017826","-72.80729805017826","-72.80729805017826"
"429","-71.8418098617476","-71.8418098617476","-71.8418098617476"
"434","-70.67664027103466","-70.67664027103466","-70.67664027103466"
"439","-70.28719821013503","-70.28719821013503","-70.28719821013503"
"444","-70.17231954487079","-70.17231954487079","-70.17231954487079"
"449","-69.71989903303796","-69.71989903303796","-69.71989903303796"
"454","-69.46752380471965","-69.46752380471965","-69.46752380471965"
"459","-69.19047025313911","-69.19047025313911","-69.19047025313911"
"464","-69.77284872690198","-69.77284872690198","-69.77284872690198"
"469","-69.01236313014019","-69.01236313014019","-69.01236313014019"
"474","-68.89338070370948","-68.89338070370948","-68.89338070370948"
"479","-68.62989181704624","-68.62989181704624","-68.62989181704624"
"484","-68.19038345960911","-68.19038345960911","-68.19038345960911"
"489","-67.48953589011748","-67.48953589011748","-67.48953589011748"
"494","-68.75898708535073","-68.75898708535073","-68.75898708535073"
