"Step","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2_reward(close) - Mean Episode Reward (Last 200 episodes)__MAX"
"359","-6.8205881853312444","-6.8205881853312444","-6.8205881853312444"
"362","-5.017299282346915","-5.017299282346915","-5.017299282346915"
"365","-3.3969908986762025","-3.3969908986762025","-3.3969908986762025"
"368","-2.744227588499867","-2.744227588499867","-2.744227588499867"
"371","-2.5654257839830286","-2.5654257839830286","-2.5654257839830286"
"374","-1.367983770351285","-1.367983770351285","-1.367983770351285"
"377","0.6109579590928761","0.6109579590928761","0.6109579590928761"
"380","1.9804587714417539","1.9804587714417539","1.9804587714417539"
"383","1.497211551103958","1.497211551103958","1.497211551103958"
"386","1.2778172968886594","1.2778172968886594","1.2778172968886594"
"389","3.4178028397203453","3.4178028397203453","3.4178028397203453"
"392","2.8463717272878224","2.8463717272878224","2.8463717272878224"
"395","2.1567647343166714","2.1567647343166714","2.1567647343166714"
"398","3.72235459605575","3.72235459605575","3.72235459605575"
"401","4.888252438896599","4.888252438896599","4.888252438896599"
"404","6.80975439874554","6.80975439874554","6.80975439874554"
"407","8.464574804393074","8.464574804393074","8.464574804393074"
"410","8.455641050311982","8.455641050311982","8.455641050311982"
"413","9.131396079943357","9.131396079943357","9.131396079943357"
"416","10.126719204183008","10.126719204183008","10.126719204183008"
"419","11.471328392682725","11.471328392682725","11.471328392682725"
"422","13.752538582208485","13.752538582208485","13.752538582208485"
"425","14.151801064846929","14.151801064846929","14.151801064846929"
"428","14.814965913014195","14.814965913014195","14.814965913014195"
"431","14.981273683902344","14.981273683902344","14.981273683902344"
"434","16.989568998208664","16.989568998208664","16.989568998208664"
"437","18.166641325628593","18.166641325628593","18.166641325628593"
"440","19.04837517542696","19.04837517542696","19.04837517542696"
"443","20.4481593399349","20.4481593399349","20.4481593399349"
"446","20.833604715944222","20.833604715944222","20.833604715944222"
"449","20.595430553609432","20.595430553609432","20.595430553609432"
"452","21.172093298441535","21.172093298441535","21.172093298441535"
"455","22.113162887288933","22.113162887288933","22.113162887288933"
"458","21.916594515466876","21.916594515466876","21.916594515466876"
"461","21.524774540448334","21.524774540448334","21.524774540448334"
"464","21.79096751761643","21.79096751761643","21.79096751761643"
"467","22.56224641891513","22.56224641891513","22.56224641891513"
"470","22.04425861894061","22.04425861894061","22.04425861894061"
"473","24.52673517551166","24.52673517551166","24.52673517551166"
"476","25.287784154596928","25.287784154596928","25.287784154596928"
"479","25.362372605512075","25.362372605512075","25.362372605512075"
"482","25.498262720821987","25.498262720821987","25.498262720821987"
"485","26.473740700862233","26.473740700862233","26.473740700862233"
"488","26.830311255958023","26.830311255958023","26.830311255958023"
"491","26.37355255998363","26.37355255998363","26.37355255998363"
"494","25.878992299013706","25.878992299013706","25.878992299013706"
"497","25.206789936617373","25.206789936617373","25.206789936617373"
"500","26.385037398985432","26.385037398985432","26.385037398985432"
"503","26.416343208308064","26.416343208308064","26.416343208308064"
"506","26.13056666061529","26.13056666061529","26.13056666061529"
"509","26.601845941821168","26.601845941821168","26.601845941821168"
"512","26.253046022272674","26.253046022272674","26.253046022272674"
"515","26.623630717479237","26.623630717479237","26.623630717479237"
"518","26.371052999307206","26.371052999307206","26.371052999307206"
"521","27.33774026259738","27.33774026259738","27.33774026259738"
"524","27.562560667739344","27.562560667739344","27.562560667739344"
"527","28.62253142107214","28.62253142107214","28.62253142107214"
"530","30.254586320421264","30.254586320421264","30.254586320421264"
"533","29.85903865380262","29.85903865380262","29.85903865380262"
"536","30.325420041917777","30.325420041917777","30.325420041917777"
"539","30.97282797394262","30.97282797394262","30.97282797394262"
"542","30.563605400915453","30.563605400915453","30.563605400915453"
"545","31.69541357309314","31.69541357309314","31.69541357309314"
"548","31.70057545394177","31.70057545394177","31.70057545394177"
"551","31.42278813772152","31.42278813772152","31.42278813772152"
"554","31.70490838803571","31.70490838803571","31.70490838803571"
"557","32.95621345849584","32.95621345849584","32.95621345849584"
"560","32.622162660515755","32.622162660515755","32.622162660515755"
"563","32.81865509656804","32.81865509656804","32.81865509656804"
"566","32.20623397182325","32.20623397182325","32.20623397182325"
"569","32.92435685384197","32.92435685384197","32.92435685384197"
"572","33.97078252833793","33.97078252833793","33.97078252833793"
"575","33.995278006908705","33.995278006908705","33.995278006908705"
"578","33.706704627637855","33.706704627637855","33.706704627637855"
