"Step","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MIN","RAND_RAND_3_1_TEST - Mean Episode Reward (Last 200 episodes)__MAX"
"47","-53.2396265384779","-53.2396265384779","-53.2396265384779"
"48","-53.050799001993646","-53.050799001993646","-53.050799001993646"
"49","-52.79019626098411","-52.79019626098411","-52.79019626098411"
"50","-53.33034727809416","-53.33034727809416","-53.33034727809416"
"51","-53.365481425178636","-53.365481425178636","-53.365481425178636"
"52","-53.49489943785028","-53.49489943785028","-53.49489943785028"
"53","-53.32687576827772","-53.32687576827772","-53.32687576827772"
"54","-53.72031034379584","-53.72031034379584","-53.72031034379584"
"55","-54.897085189293236","-54.897085189293236","-54.897085189293236"
"56","-54.502191062185986","-54.502191062185986","-54.502191062185986"
"57","-55.59257128467953","-55.59257128467953","-55.59257128467953"
"58","-54.20658187730585","-54.20658187730585","-54.20658187730585"
"59","-53.797311254855224","-53.797311254855224","-53.797311254855224"
"60","-51.555656466032076","-51.555656466032076","-51.555656466032076"
"61","-51.082274917187064","-51.082274917187064","-51.082274917187064"
"62","-50.674345222149626","-50.674345222149626","-50.674345222149626"
"63","-49.5488486972317","-49.5488486972317","-49.5488486972317"
"64","-50.77743887199464","-50.77743887199464","-50.77743887199464"
"65","-49.81081148780676","-49.81081148780676","-49.81081148780676"
"66","-50.7846562966606","-50.7846562966606","-50.7846562966606"
"67","-52.32109561704659","-52.32109561704659","-52.32109561704659"
"68","-53.13253709696764","-53.13253709696764","-53.13253709696764"
"69","-54.084446491455004","-54.084446491455004","-54.084446491455004"
"70","-54.03541947123832","-54.03541947123832","-54.03541947123832"
"71","-53.84737628073069","-53.84737628073069","-53.84737628073069"
"72","-53.148221303205766","-53.148221303205766","-53.148221303205766"
"73","-54.57053503280299","-54.57053503280299","-54.57053503280299"
"74","-55.04391819445885","-55.04391819445885","-55.04391819445885"
"75","-54.8131581650725","-54.8131581650725","-54.8131581650725"
"76","-54.52035551159536","-54.52035551159536","-54.52035551159536"
"77","-55.06756047023022","-55.06756047023022","-55.06756047023022"
"78","-54.67482782448268","-54.67482782448268","-54.67482782448268"
"79","-54.403699149907176","-54.403699149907176","-54.403699149907176"
"80","-54.36838158442308","-54.36838158442308","-54.36838158442308"
"81","-55.03430992672392","-55.03430992672392","-55.03430992672392"
"82","-55.259375248283845","-55.259375248283845","-55.259375248283845"
"83","-55.10744416374636","-55.10744416374636","-55.10744416374636"
"84","-54.88624887245993","-54.88624887245993","-54.88624887245993"
"85","-54.7963887552003","-54.7963887552003","-54.7963887552003"
"86","-53.93656494548885","-53.93656494548885","-53.93656494548885"
"87","-54.39285105784017","-54.39285105784017","-54.39285105784017"
"88","-54.603871666274564","-54.603871666274564","-54.603871666274564"
"89","-54.93155004286741","-54.93155004286741","-54.93155004286741"
"90","-54.414117762549814","-54.414117762549814","-54.414117762549814"
"91","-54.11486953503554","-54.11486953503554","-54.11486953503554"
"92","-53.728137965786374","-53.728137965786374","-53.728137965786374"
"93","-54.47486014158559","-54.47486014158559","-54.47486014158559"
"94","-54.15422865579347","-54.15422865579347","-54.15422865579347"
"95","-54.29603813783509","-54.29603813783509","-54.29603813783509"
"96","-54.648472914231945","-54.648472914231945","-54.648472914231945"
"97","-53.85124330833474","-53.85124330833474","-53.85124330833474"
"98","-53.538033091618054","-53.538033091618054","-53.538033091618054"
