"Step","DDPG_DDPG_3_1_RS-close - Mean Episode Reward (Last 200 episodes)","DDPG_DDPG_3_1_RS-close - Mean Episode Reward (Last 200 episodes)__MIN","DDPG_DDPG_3_1_RS-close - Mean Episode Reward (Last 200 episodes)__MAX","DDPG_DDPG_3_1_RS-far - Mean Episode Reward (Last 200 episodes)","DDPG_DDPG_3_1_RS-far - Mean Episode Reward (Last 200 episodes)__MIN","DDPG_DDPG_3_1_RS-far - Mean Episode Reward (Last 200 episodes)__MAX"
"83","-28.611376358287277","-28.611376358287277","-28.611376358287277","-82.1403807947327","-82.1403807947327","-82.1403807947327"
"84","-28.397635102531517","-28.397635102531517","-28.397635102531517","-82.26839613821039","-82.26839613821039","-82.26839613821039"
"85","-27.789365914947904","-27.789365914947904","-27.789365914947904","-81.62124575532116","-81.62124575532116","-81.62124575532116"
"86","-27.514814640347453","-27.514814640347453","-27.514814640347453","-81.26425268917673","-81.26425268917673","-81.26425268917673"
"87","-26.607176474389846","-26.607176474389846","-26.607176474389846","-80.53767868749355","-80.53767868749355","-80.53767868749355"
"88","-26.334865220101605","-26.334865220101605","-26.334865220101605","-79.36024652462655","-79.36024652462655","-79.36024652462655"
"89","-26.103455769897426","-26.103455769897426","-26.103455769897426","-78.68868636986014","-78.68868636986014","-78.68868636986014"
"90","-24.53282264017791","-24.53282264017791","-24.53282264017791","-77.97926115525554","-77.97926115525554","-77.97926115525554"
"91","-24.034559064828244","-24.034559064828244","-24.034559064828244","-77.39641864165182","-77.39641864165182","-77.39641864165182"
"92","-22.237027122183438","-22.237027122183438","-22.237027122183438","-75.50353935349249","-75.50353935349249","-75.50353935349249"
"93","-22.038382565874528","-22.038382565874528","-22.038382565874528","-75.74167220033722","-75.74167220033722","-75.74167220033722"
"94","-22.380297768704622","-22.380297768704622","-22.380297768704622","-75.1630393084887","-75.1630393084887","-75.1630393084887"
"95","-21.7641880394267","-21.7641880394267","-21.7641880394267","-73.87155600945634","-73.87155600945634","-73.87155600945634"
"96","-20.851073273225317","-20.851073273225317","-20.851073273225317","-72.47823480116419","-72.47823480116419","-72.47823480116419"
"97","-19.833283997536185","-19.833283997536185","-19.833283997536185","-71.95070372954913","-71.95070372954913","-71.95070372954913"
"98","-18.83628441363528","-18.83628441363528","-18.83628441363528","-71.34569486131055","-71.34569486131055","-71.34569486131055"
"99","-18.11179090313654","-18.11179090313654","-18.11179090313654","-70.21135092905536","-70.21135092905536","-70.21135092905536"
"100","-17.945673609088917","-17.945673609088917","-17.945673609088917","-69.64001115911323","-69.64001115911323","-69.64001115911323"
"101","-17.554639390715636","-17.554639390715636","-17.554639390715636","-68.92733562125532","-68.92733562125532","-68.92733562125532"
"102","-17.26164121986801","-17.26164121986801","-17.26164121986801","-67.44734428874301","-67.44734428874301","-67.44734428874301"
"103","-16.990213690744746","-16.990213690744746","-16.990213690744746","-66.92131123714886","-66.92131123714886","-66.92131123714886"
"104","-17.17280049558296","-17.17280049558296","-17.17280049558296","-66.08283350591051","-66.08283350591051","-66.08283350591051"
"105","-16.86258286215787","-16.86258286215787","-16.86258286215787","-66.72923803717327","-66.72923803717327","-66.72923803717327"
"106","-16.66545815773355","-16.66545815773355","-16.66545815773355","-66.47568280430959","-66.47568280430959","-66.47568280430959"
"107","-15.261802179345162","-15.261802179345162","-15.261802179345162","-66.34093927033074","-66.34093927033074","-66.34093927033074"
"108","-14.552010776381177","-14.552010776381177","-14.552010776381177","-65.54431900476374","-65.54431900476374","-65.54431900476374"
"109","-14.269500012698437","-14.269500012698437","-14.269500012698437","-65.13009903068749","-65.13009903068749","-65.13009903068749"
"110","-13.545315123096398","-13.545315123096398","-13.545315123096398","-64.6616384853252","-64.6616384853252","-64.6616384853252"
"111","-13.64659040057344","-13.64659040057344","-13.64659040057344","-64.24269026653074","-64.24269026653074","-64.24269026653074"
"112","-13.362679053822935","-13.362679053822935","-13.362679053822935","-63.30049590613336","-63.30049590613336","-63.30049590613336"
"113","-13.077966006396256","-13.077966006396256","-13.077966006396256","-62.86763073182829","-62.86763073182829","-62.86763073182829"
"114","-12.850960426112081","-12.850960426112081","-12.850960426112081","-62.49298998957339","-62.49298998957339","-62.49298998957339"
"115","-12.478201167230152","-12.478201167230152","-12.478201167230152","-61.57255938597334","-61.57255938597334","-61.57255938597334"
"116","-11.150802120201622","-11.150802120201622","-11.150802120201622","-61.19067337306952","-61.19067337306952","-61.19067337306952"
"117","-10.84047299160305","-10.84047299160305","-10.84047299160305","-60.43980819451754","-60.43980819451754","-60.43980819451754"
"118","-10.472720132723522","-10.472720132723522","-10.472720132723522","-60.057906847255296","-60.057906847255296","-60.057906847255296"
"119","-10.165295441321973","-10.165295441321973","-10.165295441321973","-59.670670506769575","-59.670670506769575","-59.670670506769575"
"120","-9.438532652373837","-9.438532652373837","-9.438532652373837","-59.252711966335234","-59.252711966335234","-59.252711966335234"
"121","-9.237967542547835","-9.237967542547835","-9.237967542547835","-58.882250347293635","-58.882250347293635","-58.882250347293635"
"122","-8.156167590676672","-8.156167590676672","-8.156167590676672","-58.54084584722268","-58.54084584722268","-58.54084584722268"
"123","-7.912904046649073","-7.912904046649073","-7.912904046649073","-57.89655542377424","-57.89655542377424","-57.89655542377424"
"124","-7.6217677036892235","-7.6217677036892235","-7.6217677036892235","-57.68406157931109","-57.68406157931109","-57.68406157931109"
"125","-7.607078747863023","-7.607078747863023","-7.607078747863023","-57.34363087981145","-57.34363087981145","-57.34363087981145"
"126","-7.33980275014196","-7.33980275014196","-7.33980275014196","-56.863977018496065","-56.863977018496065","-56.863977018496065"
"127","-6.87529623158301","-6.87529623158301","-6.87529623158301","-56.671734677056754","-56.671734677056754","-56.671734677056754"
"128","-6.092152090693258","-6.092152090693258","-6.092152090693258","-56.38281202878715","-56.38281202878715","-56.38281202878715"
"129","-5.849047966744993","-5.849047966744993","-5.849047966744993","-56.44209209580813","-56.44209209580813","-56.44209209580813"
"130","-5.698406915697604","-5.698406915697604","-5.698406915697604","-56.10975557999991","-56.10975557999991","-56.10975557999991"
"131","-5.484772057105674","-5.484772057105674","-5.484772057105674","-55.86890943191773","-55.86890943191773","-55.86890943191773"
"132","-4.973778176884471","-4.973778176884471","-4.973778176884471","-55.63865566474441","-55.63865566474441","-55.63865566474441"
"133","-4.788985791584543","-4.788985791584543","-4.788985791584543","-54.6249623750498","-54.6249623750498","-54.6249623750498"
"134","-3.992866215715023","-3.992866215715023","-3.992866215715023","-54.51511391322217","-54.51511391322217","-54.51511391322217"
"135","-3.8590815052127234","-3.8590815052127234","-3.8590815052127234","-54.24555494797847","-54.24555494797847","-54.24555494797847"
"136","-3.6535718553183703","-3.6535718553183703","-3.6535718553183703","-53.80896756431799","-53.80896756431799","-53.80896756431799"
"137","-3.064310483753907","-3.064310483753907","-3.064310483753907","-53.4152600859549","-53.4152600859549","-53.4152600859549"
"138","-2.8610219958830037","-2.8610219958830037","-2.8610219958830037","-53.12594290049586","-53.12594290049586","-53.12594290049586"
"139","-2.666786155181439","-2.666786155181439","-2.666786155181439","-52.88464576408521","-52.88464576408521","-52.88464576408521"
"140","-2.2141620538546682","-2.2141620538546682","-2.2141620538546682","-52.62543969237604","-52.62543969237604","-52.62543969237604"
"141","-2.054011358200436","-2.054011358200436","-2.054011358200436","-52.46865200643692","-52.46865200643692","-52.46865200643692"
"142","-1.9612938957961037","-1.9612938957961037","-1.9612938957961037","-52.05986208860968","-52.05986208860968","-52.05986208860968"
"143","-1.5358065802329024","-1.5358065802329024","-1.5358065802329024","-51.85559805544492","-51.85559805544492","-51.85559805544492"
"144","-1.0911795733061898","-1.0911795733061898","-1.0911795733061898","-50.88618639489461","-50.88618639489461","-50.88618639489461"
"145","-0.9091076871313873","-0.9091076871313873","-0.9091076871313873","-50.67773225313605","-50.67773225313605","-50.67773225313605"
"146","-0.7237323282371063","-0.7237323282371063","-0.7237323282371063","-50.5342623799361","-50.5342623799361","-50.5342623799361"
"147","-0.5348133621967389","-0.5348133621967389","-0.5348133621967389","-50.31580699952481","-50.31580699952481","-50.31580699952481"
"148","-0.3497566512636498","-0.3497566512636498","-0.3497566512636498","-50.170381734255656","-50.170381734255656","-50.170381734255656"
"149","-0.19964246661086602","-0.19964246661086602","-0.19964246661086602","-49.931736988847845","-49.931736988847845","-49.931736988847845"
"150","0.3650460746368693","0.3650460746368693","0.3650460746368693","-49.40388508707485","-49.40388508707485","-49.40388508707485"
"151","0.5267770841721923","0.5267770841721923","0.5267770841721923","-49.36640230739539","-49.36640230739539","-49.36640230739539"
"152","0.9535499364216223","0.9535499364216223","0.9535499364216223","-49.19509911093906","-49.19509911093906","-49.19509911093906"
"153","1.1170039517428978","1.1170039517428978","1.1170039517428978","-48.82558465549527","-48.82558465549527","-48.82558465549527"
"154","1.7543566570012763","1.7543566570012763","1.7543566570012763","-48.315332551993926","-48.315332551993926","-48.315332551993926"
"155","1.8933102061013136","1.8933102061013136","1.8933102061013136","-48.09278516824928","-48.09278516824928","-48.09278516824928"
"156","2.0345652734827255","2.0345652734827255","2.0345652734827255","-47.918566380667954","-47.918566380667954","-47.918566380667954"
"157","2.2518872573292255","2.2518872573292255","2.2518872573292255","-47.81313106306491","-47.81313106306491","-47.81313106306491"
"158","2.3384596391309396","2.3384596391309396","2.3384596391309396","-47.58815145499408","-47.58815145499408","-47.58815145499408"
"159","2.501353055168971","2.501353055168971","2.501353055168971","-47.3974993838853","-47.3974993838853","-47.3974993838853"
"160","3.0067826514423865","3.0067826514423865","3.0067826514423865","-47.22267593811291","-47.22267593811291","-47.22267593811291"
"161","3.132462176724484","3.132462176724484","3.132462176724484","-46.43911509858437","-46.43911509858437","-46.43911509858437"
"162","3.7426897820376075","3.7426897820376075","3.7426897820376075","-46.395664632566906","-46.395664632566906","-46.395664632566906"
"163","4.474923685558674","4.474923685558674","4.474923685558674","-46.406868885402375","-46.406868885402375","-46.406868885402375"
"164","4.6111996277834795","4.6111996277834795","4.6111996277834795","-46.188397369601326","-46.188397369601326","-46.188397369601326"
"165","4.695607346538265","4.695607346538265","4.695607346538265","-46.00790585016078","-46.00790585016078","-46.00790585016078"
"166","4.641858993978302","4.641858993978302","4.641858993978302","-45.87078151215339","-45.87078151215339","-45.87078151215339"
"167","4.723878968638553","4.723878968638553","4.723878968638553","-45.71052499219143","-45.71052499219143","-45.71052499219143"
"168","4.829661949775781","4.829661949775781","4.829661949775781","-45.41260424299049","-45.41260424299049","-45.41260424299049"
"169","5.7819321854937815","5.7819321854937815","5.7819321854937815","-45.015138497037874","-45.015138497037874","-45.015138497037874"
"170","5.903390251174974","5.903390251174974","5.903390251174974","-44.958663841337966","-44.958663841337966","-44.958663841337966"
"171","5.99466210004083","5.99466210004083","5.99466210004083","-44.21485198148194","-44.21485198148194","-44.21485198148194"
"172","6.209783961451126","6.209783961451126","6.209783961451126","-43.5966202675517","-43.5966202675517","-43.5966202675517"
"173","6.328339430897348","6.328339430897348","6.328339430897348","-43.48476215711289","-43.48476215711289","-43.48476215711289"
"174","6.4333045712908685","6.4333045712908685","6.4333045712908685","-43.411521234234925","-43.411521234234925","-43.411521234234925"
"175","6.989005043004179","6.989005043004179","6.989005043004179","-43.249368194676435","-43.249368194676435","-43.249368194676435"
"176","7.229711058551974","7.229711058551974","7.229711058551974","-42.856572581521476","-42.856572581521476","-42.856572581521476"
"177","7.34427537156428","7.34427537156428","7.34427537156428","-42.738835267752044","-42.738835267752044","-42.738835267752044"
"178","7.423121349254437","7.423121349254437","7.423121349254437","-42.69461326307754","-42.69461326307754","-42.69461326307754"
"179","7.731962752884332","7.731962752884332","7.731962752884332","-42.571739726896354","-42.571739726896354","-42.571739726896354"
"180","7.829419003936058","7.829419003936058","7.829419003936058","-42.20860327167358","-42.20860327167358","-42.20860327167358"
"181","8.264196756572709","8.264196756572709","8.264196756572709","-41.99989227432724","-41.99989227432724","-41.99989227432724"
"182","8.336563571830863","8.336563571830863","8.336563571830863","-41.32048684800951","-41.32048684800951","-41.32048684800951"
"183","8.753767779275154","8.753767779275154","8.753767779275154","-40.751994871197574","-40.751994871197574","-40.751994871197574"
"184","8.842546761741023","8.842546761741023","8.842546761741023","-40.67116949600048","-40.67116949600048","-40.67116949600048"
"185","8.927120369560042","8.927120369560042","8.927120369560042","-40.31484412470206","-40.31484412470206","-40.31484412470206"
"186","9.018114269805979","9.018114269805979","9.018114269805979","-40.083479253220375","-40.083479253220375","-40.083479253220375"
"187","9.637820730466235","9.637820730466235","9.637820730466235","-39.95497669352207","-39.95497669352207","-39.95497669352207"
"188","10.66076344827557","10.66076344827557","10.66076344827557","-39.846605360995966","-39.846605360995966","-39.846605360995966"
"189","10.70811847401253","10.70811847401253","10.70811847401253","-39.73475242594906","-39.73475242594906","-39.73475242594906"
"190","11.209961011104355","11.209961011104355","11.209961011104355","-39.65705482476254","-39.65705482476254","-39.65705482476254"
"191","11.57314725565728","11.57314725565728","11.57314725565728","-39.541466853094505","-39.541466853094505","-39.541466853094505"
"192","12.109413082460229","12.109413082460229","12.109413082460229","-39.49361092372541","-39.49361092372541","-39.49361092372541"
"193","12.16520804282178","12.16520804282178","12.16520804282178","-39.3824550719429","-39.3824550719429","-39.3824550719429"
"194","12.135114524793092","12.135114524793092","12.135114524793092","-38.52332230211961","-38.52332230211961","-38.52332230211961"
"195","12.202041750000552","12.202041750000552","12.202041750000552","-37.78539043575714","-37.78539043575714","-37.78539043575714"
"196","12.250670641545556","12.250670641545556","12.250670641545556","-37.282122046871564","-37.282122046871564","-37.282122046871564"
"197","12.186096481903776","12.186096481903776","12.186096481903776","-37.196943052935545","-37.196943052935545","-37.196943052935545"
"198","12.241076638168765","12.241076638168765","12.241076638168765","-36.913589647196645","-36.913589647196645","-36.913589647196645"
"199","13.110480372635273","13.110480372635273","13.110480372635273","-36.84643112930776","-36.84643112930776","-36.84643112930776"
"200","13.12515724637606","13.12515724637606","13.12515724637606","-36.71594749155459","-36.71594749155459","-36.71594749155459"
"201","13.561170800268057","13.561170800268057","13.561170800268057","-36.087226490390805","-36.087226490390805","-36.087226490390805"
"202","14.177305489768596","14.177305489768596","14.177305489768596","-35.49892913856058","-35.49892913856058","-35.49892913856058"
"203","14.770700056268238","14.770700056268238","14.770700056268238","-35.08852100173677","-35.08852100173677","-35.08852100173677"
"204","15.732809668397865","15.732809668397865","15.732809668397865","-34.383982661695256","-34.383982661695256","-34.383982661695256"
"205","16.16993529623437","16.16993529623437","16.16993529623437","-33.74304240125382","-33.74304240125382","-33.74304240125382"
"206","16.49456169647229","16.49456169647229","16.49456169647229","-32.8512817715769","-32.8512817715769","-32.8512817715769"
"207","17.190010174995294","17.190010174995294","17.190010174995294","-32.39372125593668","-32.39372125593668","-32.39372125593668"
"208","17.390161646421042","17.390161646421042","17.390161646421042","-31.288138316970393","-31.288138316970393","-31.288138316970393"
"209","17.626308872107444","17.626308872107444","17.626308872107444","-31.0652545237202","-31.0652545237202","-31.0652545237202"
"210","18.986802342876036","18.986802342876036","18.986802342876036","-30.04550103734732","-30.04550103734732","-30.04550103734732"
"211","20.463530579839887","20.463530579839887","20.463530579839887","-28.845479573648568","-28.845479573648568","-28.845479573648568"
"212","21.375124508304907","21.375124508304907","21.375124508304907","-28.24795089087726","-28.24795089087726","-28.24795089087726"
"213","21.536652207780097","21.536652207780097","21.536652207780097","-26.57185145542407","-26.57185145542407","-26.57185145542407"
"214","21.541714237301736","21.541714237301736","21.541714237301736","-25.94921155237581","-25.94921155237581","-25.94921155237581"
"215","21.665740653924118","21.665740653924118","21.665740653924118","-25.621793555148997","-25.621793555148997","-25.621793555148997"
"216","22.04139700487282","22.04139700487282","22.04139700487282","-25.31753138809747","-25.31753138809747","-25.31753138809747"
"217","22.3731817414083","22.3731817414083","22.3731817414083","-24.970748526867624","-24.970748526867624","-24.970748526867624"
"218","22.45529947727992","22.45529947727992","22.45529947727992","-24.432192054400808","-24.432192054400808","-24.432192054400808"
"219","23.44606606018835","23.44606606018835","23.44606606018835","-24.00971590060869","-24.00971590060869","-24.00971590060869"
"220","24.40784651120487","24.40784651120487","24.40784651120487","-23.592351501133045","-23.592351501133045","-23.592351501133045"
