"Step","MADDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)","MADDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG-DDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MAX"
"219","-68.73686300552998","-68.73686300552998","-68.73686300552998"
"224","-65.4046145316939","-65.4046145316939","-65.4046145316939"
"229","-66.63506475966335","-66.63506475966335","-66.63506475966335"
"234","-63.8727582527489","-63.8727582527489","-63.8727582527489"
"239","-57.772020167907804","-57.772020167907804","-57.772020167907804"
"244","-58.581321713062124","-58.581321713062124","-58.581321713062124"
"249","-62.49488508486515","-62.49488508486515","-62.49488508486515"
"254","-58.276107444973775","-58.276107444973775","-58.276107444973775"
"259","-55.99313290886964","-55.99313290886964","-55.99313290886964"
"264","-54.29705363629013","-54.29705363629013","-54.29705363629013"
"269","-49.61301360245701","-49.61301360245701","-49.61301360245701"
"274","-47.850984867906526","-47.850984867906526","-47.850984867906526"
"279","-49.218573158616856","-49.218573158616856","-49.218573158616856"
"284","-45.68916748930085","-45.68916748930085","-45.68916748930085"
"289","-45.442413698790986","-45.442413698790986","-45.442413698790986"
"294","-44.93129570483832","-44.93129570483832","-44.93129570483832"
"299","-44.52315577709041","-44.52315577709041","-44.52315577709041"
"304","-42.87687385730199","-42.87687385730199","-42.87687385730199"
"309","-39.94945895025165","-39.94945895025165","-39.94945895025165"
"314","-36.333079389689686","-36.333079389689686","-36.333079389689686"
"319","-33.68805418268175","-33.68805418268175","-33.68805418268175"
"324","-32.48683206266975","-32.48683206266975","-32.48683206266975"
"329","-33.954027477313936","-33.954027477313936","-33.954027477313936"
"334","-33.88964992502259","-33.88964992502259","-33.88964992502259"
"339","-33.45182198040792","-33.45182198040792","-33.45182198040792"
"344","-31.936537437284002","-31.936537437284002","-31.936537437284002"
"349","-30.3039792829004","-30.3039792829004","-30.3039792829004"
"354","-27.439104365510747","-27.439104365510747","-27.439104365510747"
"359","-24.71519581218867","-24.71519581218867","-24.71519581218867"
"364","-25.09667758877853","-25.09667758877853","-25.09667758877853"
"369","-26.706770349163385","-26.706770349163385","-26.706770349163385"
"374","-25.705828968111327","-25.705828968111327","-25.705828968111327"
"379","-24.196804117432254","-24.196804117432254","-24.196804117432254"
"384","-22.84566873822379","-22.84566873822379","-22.84566873822379"
"389","-20.80152208666283","-20.80152208666283","-20.80152208666283"
"394","-19.053453253205507","-19.053453253205507","-19.053453253205507"
"399","-17.434322902070555","-17.434322902070555","-17.434322902070555"
"404","-17.715370666885974","-17.715370666885974","-17.715370666885974"
"409","-17.822230781780387","-17.822230781780387","-17.822230781780387"
"414","-18.145714164857182","-18.145714164857182","-18.145714164857182"
"419","-18.285947743606066","-18.285947743606066","-18.285947743606066"
"424","-18.519028707825996","-18.519028707825996","-18.519028707825996"
"429","-18.419990326939796","-18.419990326939796","-18.419990326939796"
"434","-18.375772995531452","-18.375772995531452","-18.375772995531452"
"439","-14.804940805362996","-14.804940805362996","-14.804940805362996"
"444","-14.037061613817315","-14.037061613817315","-14.037061613817315"
"449","-14.198968340899707","-14.198968340899707","-14.198968340899707"
"454","-14.119910718689638","-14.119910718689638","-14.119910718689638"
"459","-15.439206942064112","-15.439206942064112","-15.439206942064112"
"464","-14.304974306940812","-14.304974306940812","-14.304974306940812"
"469","-14.201474437040973","-14.201474437040973","-14.201474437040973"
"474","-13.96698396290651","-13.96698396290651","-13.96698396290651"
"479","-13.244317340990847","-13.244317340990847","-13.244317340990847"
"484","-12.76091219778592","-12.76091219778592","-12.76091219778592"
"489","-11.277779154140823","-11.277779154140823","-11.277779154140823"
"494","-10.914358915684893","-10.914358915684893","-10.914358915684893"
