"Step","DDPG-DDPG_4_2_reward(far) - Mean Episode Reward (Last 200 episodes)","DDPG-DDPG_4_2_reward(far) - Mean Episode Reward (Last 200 episodes)__MIN","DDPG-DDPG_4_2_reward(far) - Mean Episode Reward (Last 200 episodes)__MAX"
"131","-132.17541883886403","-132.17541883886403","-132.17541883886403"
"134","-135.6201194411168","-135.6201194411168","-135.6201194411168"
"137","-135.54983496164124","-135.54983496164124","-135.54983496164124"
"140","-136.5249971611521","-136.5249971611521","-136.5249971611521"
"143","-140.42125413073572","-140.42125413073572","-140.42125413073572"
"146","-145.96107151352868","-145.96107151352868","-145.96107151352868"
"149","-145.97440558793852","-145.97440558793852","-145.97440558793852"
"152","-146.78523843817916","-146.78523843817916","-146.78523843817916"
"155","-143.67450016719795","-143.67450016719795","-143.67450016719795"
"158","-143.01450248197617","-143.01450248197617","-143.01450248197617"
"161","-145.38113789401444","-145.38113789401444","-145.38113789401444"
"164","-143.90092294150432","-143.90092294150432","-143.90092294150432"
"167","-142.67795102257705","-142.67795102257705","-142.67795102257705"
"170","-138.52971641241308","-138.52971641241308","-138.52971641241308"
"173","-139.83489965236353","-139.83489965236353","-139.83489965236353"
"176","-138.9295089120448","-138.9295089120448","-138.9295089120448"
"179","-138.69617924746476","-138.69617924746476","-138.69617924746476"
"182","-138.31962708087346","-138.31962708087346","-138.31962708087346"
"185","-137.07157144572676","-137.07157144572676","-137.07157144572676"
"188","-135.15485471153625","-135.15485471153625","-135.15485471153625"
"191","-130.2218180274206","-130.2218180274206","-130.2218180274206"
"194","-129.91726156350342","-129.91726156350342","-129.91726156350342"
"197","-127.00333446423726","-127.00333446423726","-127.00333446423726"
"200","-125.24815974093747","-125.24815974093747","-125.24815974093747"
"203","-126.72359771395092","-126.72359771395092","-126.72359771395092"
"206","-123.99180185118612","-123.99180185118612","-123.99180185118612"
"209","-122.38338963180176","-122.38338963180176","-122.38338963180176"
"212","-120.9347314563356","-120.9347314563356","-120.9347314563356"
"215","-120.23384771813166","-120.23384771813166","-120.23384771813166"
"218","-118.13463710109285","-118.13463710109285","-118.13463710109285"
"221","-113.61599233127389","-113.61599233127389","-113.61599233127389"
"224","-108.92499193772251","-108.92499193772251","-108.92499193772251"
"227","-105.07620386717157","-105.07620386717157","-105.07620386717157"
"230","-104.84689905438448","-104.84689905438448","-104.84689905438448"
"233","-103.18414921992202","-103.18414921992202","-103.18414921992202"
"236","-104.52248423073611","-104.52248423073611","-104.52248423073611"
"239","-103.84104441347404","-103.84104441347404","-103.84104441347404"
"242","-100.98457839976959","-100.98457839976959","-100.98457839976959"
"245","-99.11383565768848","-99.11383565768848","-99.11383565768848"
"248","-99.34333483656773","-99.34333483656773","-99.34333483656773"
"251","-99.7885663310966","-99.7885663310966","-99.7885663310966"
"254","-95.67218242162451","-95.67218242162451","-95.67218242162451"
"257","-95.37546020711753","-95.37546020711753","-95.37546020711753"
"260","-94.58077914386872","-94.58077914386872","-94.58077914386872"
"263","-92.6199632036558","-92.6199632036558","-92.6199632036558"
"266","-93.24735221429464","-93.24735221429464","-93.24735221429464"
"269","-90.66755460182914","-90.66755460182914","-90.66755460182914"
"272","-90.43316979536093","-90.43316979536093","-90.43316979536093"
"275","-89.12412154881537","-89.12412154881537","-89.12412154881537"
"278","-87.9143131962329","-87.9143131962329","-87.9143131962329"
"281","-87.25931316602515","-87.25931316602515","-87.25931316602515"
"284","-85.84040262814547","-85.84040262814547","-85.84040262814547"
"287","-83.52481625253016","-83.52481625253016","-83.52481625253016"
"290","-77.29450693740183","-77.29450693740183","-77.29450693740183"
"293","-76.64052958198688","-76.64052958198688","-76.64052958198688"
