"Step","MADDPG_MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)","MADDPG_MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MIN","MADDPG_MADDPG_4_2 - Mean Episode Reward (Last 200 episodes)__MAX"
"594","-48.00045833007626","-48.00045833007626","-48.00045833007626"
"601","-41.317925599362134","-41.317925599362134","-41.317925599362134"
"608","-36.89489487854367","-36.89489487854367","-36.89489487854367"
"615","-36.600736753956674","-36.600736753956674","-36.600736753956674"
"622","-35.61385739103014","-35.61385739103014","-35.61385739103014"
"629","-35.36658800567885","-35.36658800567885","-35.36658800567885"
"636","-33.796240125736325","-33.796240125736325","-33.796240125736325"
"643","-30.572068623038444","-30.572068623038444","-30.572068623038444"
"650","-30.570849007153292","-30.570849007153292","-30.570849007153292"
"657","-28.406630603030518","-28.406630603030518","-28.406630603030518"
"664","-26.90243920363043","-26.90243920363043","-26.90243920363043"
"671","-25.69658190459047","-25.69658190459047","-25.69658190459047"
"678","-23.67608218063783","-23.67608218063783","-23.67608218063783"
"685","-23.06432385149648","-23.06432385149648","-23.06432385149648"
"692","-20.45632479111772","-20.45632479111772","-20.45632479111772"
